pl_orbsmax,st_rad,pl_rade,sy_dist
330.0,1.31,18.647,139.135
118.0,0.84,13.0,128.484
84.0,0.784570379,12.3,47.2
52.0,0.37,11.209,33.8281
156.0,0.28,16.141,40.0896412
1950.0,0.32,12.4,66.0613
572.0,0.29,12.2,117.435
15.0,0.23,12.6,120.423987
587.0,0.6,12.1,100.862
55.0,0.22,12.9,64.308
7493.0,0.67,12.4,34.1154
230.0,0.64,12.3,69.5737
13.2,1.49,13.4,29.7575
93.9,2.96,12.5,162.127
260.0,1.0,12.3,50.0475
8.4,1.25,13.1,26.8564
1662.0,0.8,14.684,44.9543
2.6,20.95414615,12.4,23.1
210.0,0.735243619,12.3,190.374
7506.0,0.39,12.442,10.8864
440.0,1.68,24.66,190.72
330.0,0.27,30.264,134.846
800.0,1.848176219,12.2,133.4950466
350.0,0.52,12.0,21.7912
43.5,1.26,13.0,17.5299
12000.0,0.72,12.4,20.8065
100.0,1.94,33.6,151.169
320.0,0.9,20.176,108.5
2000.0,0.45,14.179,47.5501
53.0,1.85,77.342,109.677
650.0,2.12,12.4,103.029
37.2,1.54,13.1,113.6
487.1,0.86,14.46,39.2503
9.6,1.31,14.011,40.7583
3.53,1.31,16.365,40.7583
431.16,1.36,12.0,117.807
55.7,1.49,12.9,86.2279
17.0,1.59,12.0,43.4073
22.1,1.52,12.0,66.3217
92.0,1.77,16.814,108.875
3319.0,0.178754682,12.1,150.862
740.0,2.11,12.0,136.759
345.0,48.23123798,12.1,145.798
23.04,0.784570379,12.3,147.533
16.9,1.94,12.2,40.0765
773.0,1.01,11.777,18.1186
20.3,1.47,12.442,34.0071
68.0,1.49,13.0,41.2441
38.0,1.49,13.0,41.2441
24.0,1.49,13.0,41.2441
16.4,1.49,13.115,41.2441
435.0,0.0,12.1,136.37
14.7,1.61,,158.152
18.6,1.61,,158.152
100.0,2.01,,159.537
243.0,0.23,12.3,136.165592
20.0,1.26,30.488,113.064
34.0,1.06,22.866,113.064
27.0,1.26,11.9,47.0648
210.0,1.07,12.2,136.65
157.0,1.34,12.5,143.59
1100.0,0.56,14.011,11.5094
,1.1,12.3,112.3172158
162.0,0.95,12.3,94.6177
320.0,0.95,12.33,94.6177
6100.0,0.56,12.1,52.5829
19000.0,1.33678091,12.1,39.9089
670.0,0.35,12.3,144.019
3500.0,0.67,12.3,140.635
2880.0,0.71,12.2,137.901
350.0,0.130516548,13.675,12.7
2500.0,0.212725225,12.6,19.2444
8.0,0.09,10.468,10.1
115.0,1.19,12.7,109.406
556.0,10.19186818,12.4,98.0935
10.018,1.54,18.495,19.7442
55.0,2.31,12.3,50.0177
